taskid,Processing Time,Release Time,Due Date,Benefit,Vehicle ID,Access Point,Access Point Communication Time,Broker Communication Time,Base Station 1 Communication Time,Base Station 2 Communication Time,Base Station 3 Communication Time,Base Station 4 Communication Time
1,1,0,2,1,4,2,0.5,0.3,0.2,0.1,0.0,0.4
2,5,0,8,4,3,1,0.4,0.1,0.4,0.1,0.1,0.0
3,5,0,6,17,1,1,0.0,0.1,0.3,0.2,0.4,0.0
4,6,0,8,1,1,1,0.0,0.2,0.2,0.2,0.1,0.0
5,9,0,13,7,2,1,0.1,0.4,0.1,0.1,0.1,0.0
6,6,0,13,7,4,2,0.0,0.2,0.0,0.1,0.5,0.2
7,5,0,6,17,1,1,0.1,0.1,0.0,0.1,0.1,0.3
8,1,0,2,11,1,1,0.3,0.1,0.0,0.5,0.2,0.3
9,4,1,10,14,2,1,0.0,0.3,0.0,0.5,0.1,0.4
10,7,1,10,19,4,2,0.0,0.1,0.1,0.1,0.1,0.0
11,7,1,13,14,4,2,0.4,0.3,0.1,0.1,0.1,0.2
12,2,1,6,17,4,2,0.3,0.3,0.3,0.1,0.0,0.0
13,10,2,13,13,2,1,0.1,0.3,0.1,0.1,0.2,0.1
14,9,2,20,1,1,1,0.4,0.4,0.1,0.2,0.1,0.0
15,7,2,15,11,1,1,0.0,0.1,0.5,0.1,0.2,0.0
16,2,4,6,15,3,1,0.0,0.1,0.0,0.1,0.0,0.0
17,8,4,12,2,2,1,0.3,0.3,0.1,0.1,0.3,0.0
18,10,4,16,10,1,1,0.3,0.2,0.1,0.1,0.2,0.4
19,8,4,17,16,3,1,0.0,0.1,0.1,0.1,0.2,0.0
20,6,5,15,15,4,2,0.3,0.2,0.5,0.1,0.2,0.0
21,1,5,6,7,2,1,0.0,0.1,0.4,0.1,0.0,0.2
22,10,6,24,20,2,1,0.1,0.1,0.1,0.1,0.1,0.1
23,9,6,18,18,3,1,0.4,0.2,0.1,0.1,0.1,0.2
24,7,6,15,12,1,1,0.0,0.3,0.1,0.1,0.1,0.0
